name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	1750	1748	2	0	0	0	70	70	10	16	16	5	12	12	5	40	40	10	60	60	10	t < 800 ms	1748	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	2	0	45	45	0
request_0	250	250	0	10	10	-1	20	20	-1	10	10	-1	4	4	-1	10	10	-1	20	20	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_1	250	250	0	10	10	-1	70	70	-1	32	32	-1	10	10	-1	50	50	-1	60	60	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_2	250	250	0	10	10	-1	60	60	-1	31	31	-1	11	11	-1	50	50	-1	60	60	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_3	250	250	0	10	10	-1	30	30	-1	11	11	-1	4	4	-1	20	20	-1	20	20	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_4	250	250	0	0	0	-1	30	30	-1	10	10	-1	2	2	-1	10	10	-1	20	20	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_5	250	250	0	0	0	-1	20	20	-1	10	10	-1	3	3	-1	10	10	-1	20	20	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_6	250	248	2	0	0	0	10	10	10	7	7	5	5	5	5	10	10	10	10	10	10	t < 800 ms	248	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	2	0	6	6	0
