name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	2000	1901	99	0	0	0	130	130	10	16	16	0	14	15	2	50	50	0	70	70	10	t < 800 ms	1901	95	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	99	4	44	42	2
request_0	250	250	0	10	10	-1	40	40	-1	11	11	-1	3	3	-1	20	20	-1	30	30	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_1	250	250	0	10	10	-1	90	90	-1	36	36	-1	16	16	-1	70	70	-1	80	80	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_2	250	250	0	10	10	-1	90	90	-1	35	35	-1	17	17	-1	70	70	-1	90	90	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_3	250	250	0	10	10	-1	30	30	-1	11	11	-1	5	5	-1	20	20	-1	30	30	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_4	250	250	0	0	0	-1	20	20	-1	9	9	-1	5	5	-1	20	20	-1	20	20	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_5	250	250	0	0	0	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_6	250	235	15	0	0	0	20	20	10	6	6	1	5	5	4	10	10	10	10	10	10	t < 800 ms	235	94	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	15	6	6	5	0
request_7	250	166	84	0	0	0	130	130	10	7	11	0	9	9	1	10	10	0	20	20	0	t < 800 ms	166	66	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	84	33	6	4	2
