name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	1400	1396	4	0	0	0	1140	1140	10	26	26	3	49	49	4	90	90	10	120	120	10	t < 800 ms	1394	99	800 ms < t < 1200 ms	2	0	t > 1200 ms	0	0	failed	4	0	36	36	0
request_0	200	200	0	10	10	-1	1140	1140	-1	22	22	-1	109	109	-1	20	20	-1	30	30	-1	t < 800 ms	198	99	800 ms < t < 1200 ms	2	1	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_1	200	200	0	20	20	-1	130	130	-1	55	55	-1	28	28	-1	110	110	-1	120	120	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_2	200	200	0	20	20	-1	130	130	-1	60	60	-1	29	29	-1	110	110	-1	120	120	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_3	200	200	0	10	10	-1	40	40	-1	15	15	-1	5	5	-1	30	30	-1	30	30	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_4	200	200	0	10	10	-1	20	20	-1	11	11	-1	0	0	-1	20	20	-1	20	20	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_5	200	200	0	10	10	-1	20	20	-1	10	10	-1	3	3	-1	10	10	-1	20	20	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	5	5	-1
request_6	200	196	4	0	0	0	10	10	10	10	10	3	0	0	4	10	10	10	10	10	10	t < 800 ms	196	98	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	4	2	5	5	0
