name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	1750	1692	58	0	0	0	130	130	10	22	23	2	19	18	4	60	60	10	90	90	10	t < 800 ms	1692	96	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	58	3	45	44	2
request_0	250	250	0	10	10	-1	30	30	-1	11	11	-1	3	3	-1	20	20	-1	30	30	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_1	250	250	0	10	10	-1	90	90	-1	39	39	-1	17	17	-1	70	70	-1	90	90	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_2	250	250	0	10	10	-1	90	90	-1	38	38	-1	15	15	-1	70	70	-1	90	90	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_3	250	250	0	10	10	-1	130	130	-1	29	29	-1	24	24	-1	80	80	-1	120	120	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_4	250	250	0	10	10	-1	110	110	-1	19	19	-1	15	15	-1	40	40	-1	80	80	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_5	250	250	0	0	0	-1	40	40	-1	13	13	-1	6	6	-1	20	20	-1	40	40	-1	t < 800 ms	250	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	6	6	-1
request_6	250	192	58	0	0	0	10	10	10	6	8	2	5	3	4	10	10	10	10	10	10	t < 800 ms	192	76	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	58	23	6	5	2
