name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	800	800	0	0	0	-1	40	40	-1	12	12	-1	6	6	-1	20	20	-1	30	30	-1	t < 800 ms	800	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	18	18	-1
request_0	100	100	0	10	10	-1	20	20	-1	10	10	-1	2	2	-1	10	10	-1	10	10	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	2	2	-1
request_1	100	100	0	10	10	-1	40	40	-1	20	20	-1	7	7	-1	30	30	-1	40	40	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	2	2	-1
request_2	100	100	0	10	10	-1	40	40	-1	19	19	-1	6	6	-1	30	30	-1	30	30	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	2	2	-1
request_3	100	100	0	10	10	-1	30	30	-1	10	10	-1	3	3	-1	10	10	-1	20	20	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	2	2	-1
request_4	100	100	0	10	10	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	2	2	-1
request_5	100	100	0	0	0	-1	10	10	-1	9	9	-1	3	3	-1	10	10	-1	10	10	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	2	2	-1
request_6	100	100	0	0	0	-1	20	20	-1	4	4	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	2	2	-1
request_7	100	100	0	0	0	-1	40	40	-1	10	10	-1	4	4	-1	10	10	-1	10	10	-1	t < 800 ms	100	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	2	2	-1
