RUN	20140714113222	basicexamplesimulation	basicexamplesimulation
REQUEST	Scenario name	0	Login	request_1	1405351943900	1405351943900	1405351944111	1405351944111	OK	 
REQUEST	Scenario name	0	Login	request_2	1405351944160	1405351944160	1405351944216	1405351944216	OK	 
REQUEST	Scenario name	1	Login	request_1	1405351948906	1405351948906	1405351949004	1405351949004	OK	 
REQUEST	Scenario name	1	Login	request_2	1405351949107	1405351949107	1405351949161	1405351949161	OK	 
REQUEST	Scenario name	2	Login	request_1	1405351953906	1405351953906	1405351954092	1405351954092	OK	 
REQUEST	Scenario name	2	Login	request_2	1405351954207	1405351954207	1405351954426	1405351954426	OK	 
REQUEST	Scenario name	0	Login	request_3	1405351956922	1405351956922	1405351956978	1405351956978	OK	 
GROUP	Scenario name	0	Login	1405351943885	1405351956979	OK
REQUEST	Scenario name	0		request_4	1405351957058	1405351957058	1405351957136	1405351957136	OK	 
REQUEST	Scenario name	1	Login	request_3	1405351962007	1405351962007	1405351962065	1405351962065	OK	 
GROUP	Scenario name	1	Login	1405351948905	1405351962066	OK
REQUEST	Scenario name	1		request_4	1405351962068	1405351962068	1405351962137	1405351962137	OK	 
REQUEST	Scenario name	0		request_5	1405351964208	1405351964208	1405351964326	1405351964326	OK	 
REQUEST	Scenario name	0		request_6	1405351964457	1405351964457	1405351964524	1405351964525	OK	 
REQUEST	Scenario name	2	Login	request_3	1405351966558	1405351966558	1405351966653	1405351966653	OK	 
GROUP	Scenario name	2	Login	1405351953905	1405351966654	OK
REQUEST	Scenario name	2		request_4	1405351966707	1405351966707	1405351966775	1405351966775	OK	 
REQUEST	Scenario name	0		request_7	1405351969456	1405351969456	1405351969599	1405351969599	OK	 
REQUEST	Scenario name	1		request_5	1405351969607	1405351969607	1405351969762	1405351969762	OK	 
REQUEST	Scenario name	0		request_8	1405351969707	1405351969707	1405351969775	1405351969775	OK	 
REQUEST	Scenario name	1		request_6	1405351969906	1405351969906	1405351969972	1405351969972	OK	 
REQUEST	Scenario name	2		request_5	1405351973806	1405351973806	1405351973920	1405351973920	OK	 
