name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	140	140	0	10	10	-1	30	30	-1	16	16	-1	7	7	-1	30	30	-1	30	30	-1	t < 800 ms	140	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	4	4	-1
request_0	20	20	0	10	10	-1	20	20	-1	12	12	-1	1	1	-1	20	20	-1	20	20	-1	t < 800 ms	20	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_1	20	20	0	20	20	-1	30	30	-1	27	27	-1	5	5	-1	30	30	-1	30	30	-1	t < 800 ms	20	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_2	20	20	0	20	20	-1	30	30	-1	27	27	-1	5	5	-1	30	30	-1	30	30	-1	t < 800 ms	20	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_3	20	20	0	10	10	-1	20	20	-1	13	13	-1	2	2	-1	20	20	-1	20	20	-1	t < 800 ms	20	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_4	20	20	0	10	10	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	20	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_5	20	20	0	10	10	-1	20	20	-1	11	11	-1	0	0	-1	10	10	-1	20	20	-1	t < 800 ms	20	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_6	20	20	0	10	10	-1	10	10	-1	10	10	-1	0	0	-1	10	10	-1	10	10	-1	t < 800 ms	20	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
